Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
20,15,2023-12-08,21-030,CHO,,TOR,W (+3),0,6:54,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
21,16,2023-12-11,21-033,CHO,,MIA,L (-2),0,22:31,1,4,.250,0,2,.000,1,2,.500,0,1,1,1,0,0,1,2,3,-0.6,+9
22,17,2023-12-13,21-035,CHO,@,MIA,L (-11),0,18:17,2,4,.500,1,2,.500,2,2,1.000,1,2,3,1,0,0,0,2,7,6.2,-9
23,18,2023-12-15,21-037,CHO,,NOP,L (-5),0,20:56,2,5,.400,0,2,.000,3,5,.600,1,1,2,0,1,0,0,2,7,4.7,-14
24,19,2023-12-16,21-038,CHO,,PHI,L (-53),1,24:26,5,10,.500,0,2,.000,2,3,.667,0,2,2,0,0,0,0,1,12,6.8,-17
25,20,2023-12-18,21-040,CHO,@,TOR,L (-15),1,32:16,4,9,.444,2,5,.400,4,4,1.000,0,5,5,1,1,1,2,1,14,10.8,-3
26,21,2023-12-20,21-042,CHO,@,IND,L (-31),0,20:59,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,2,5,2,-2.3,+1
27,22,2023-12-23,21-045,CHO,,DEN,L (-7),0,18:23,0,4,.000,0,0,,0,0,,2,1,3,0,0,0,0,1,0,-1.5,-4
28,23,2023-12-26,21-048,CHO,@,LAC,L (-9),1,21:56,4,6,.667,0,1,.000,2,3,.667,0,3,3,2,0,0,0,3,10,8.1,-10
29,24,2023-12-28,21-050,CHO,@,LAL,L (-21),1,21:44,3,6,.500,3,4,.750,1,2,.500,0,2,2,1,0,0,1,3,10,5.7,+1
30,25,2023-12-29,21-051,CHO,@,PHO,L (-14),1,21:12,2,4,.500,0,1,.000,0,0,,0,1,1,3,0,0,0,1,4,4.0,-2
31,26,2024-01-01,21-054,CHO,@,DEN,L (-18),1,23:16,4,8,.500,2,3,.667,0,0,,0,2,2,3,0,0,0,4,10,7.1,-16
